,Unnamed: 0,Title,Production company,Cast and crew,Rank,Genre,Tickets Sold,Release Year Gross,ReleaseYear
0,0,Taken 3,20th Century Fox,"Olivier Megaton (director); Luc Besson, Robert Mark Kamen (screenplay); Liam Neeson, Forest Whitaker, Famke Janssen, Maggie Grace, Dougray Scott, Sam Spruell, Leland Orser",33,Action,10587951.0,89256424.0,2015
1,1,Match,IFC Films,"Stephen Belber (director/screenplay); Patrick Stewart, Carla Gugino, Matthew Lillard",542,Comedy,3625.0,30566.0,2015
2,2,Blackhat,Universal Pictures,"Michael Mann (director); Morgan Davis Foehl (screenplay); Chris Hemsworth, Tang Wei, Viola Davis, Ritchie Coster, Holt McCallany, Yorick van Wageningen, Wang Leehom",143,Thriller/Suspense,949701.0,8005980.0,2015
3,3,Little Accidents,Amplify,"Sara Colangelo (director/screenplay); Elizabeth Banks, Boyd Holbrook, Chloë Sevigny, Jacob Lofland, Josh Lucas",652,Drama,1025.0,8649.0,2015
4,4,Paddington,StudioCanal,"Paul King (director/screenplay); Hugh Bonneville, Sally Hawkins, Julie Walters, Jim Broadbent, Peter Capaldi, Nicole Kidman, Ben Whishaw",38,Adventure,9041942.0,76223578.0,2015
5,5,Spare Parts,Lions Gate Entertainment,"Sean McNamara (director); Elissa Matsueda (screenplay); George Lopez, Jamie Lee Curtis, Carlos PenaVega, Esai Morales, José Julián, David Del Rio, Oscar Gutierrez, Alexa PenaVega, Alessandra Rosaldo, Marisa Tomei",178,Drama,429289.0,3618912.0,2015
6,6,The Wedding Ringer,Screen Gems,"Jeremy Garelick (director/screenplay); Jay Lavender (screenplay); Kevin Hart, Josh Gad, Kaley Cuoco, Ken Howard, Cloris Leachman, Jenifer Lewis, Mimi Rogers, Olivia Thirlby",45,Comedy,7646526.0,64460211.0,2015
7,7,Vice,Lions Gate Entertainment,"Brian A. Miller (director); Andre Fabrizio, Jeremy Passmore (screenplay); Thomas Jane, Bruce Willis, Ambyr Childers, Johnathon Schaech, Bryan Greenberg, Charlotte Kirk, Tyler Olson",101,Black Comedy,3263172.0,29727497.0,2018
11,11,The Boy Next Door,Universal Pictures,"Rob Cohen (director); Barbara Curry (screenplay); Jennifer Lopez, Ryan Guzman, John Corbett, Ian Nelson, Kristin Chenoweth",72,Thriller/Suspense,4271182.0,36006065.0,2015
12,12,Mortdecai,Lions Gate Entertainment,"David Koepp (director); Eric Aronson (screenplay); Johnny Depp, Gwyneth Paltrow, Ewan McGregor, Olivia Munn, Jeff Goldblum, Paul Bettany",144,Action,912945.0,7696134.0,2015
13,13,Song One,Cinedigm,"Kate Barker-Froyland (director/screenplay); Anne Hathaway, Johnny Flynn, Ben Rosenfield, Mary Steenburgen",533,Drama,3825.0,32251.0,2015
14,14,Strange Magic,Walt Disney,"Gary Rydstrom (director/screenplay); David Berenbaum. Irene Mecchi (screenplay); Alan Cumming, Evan Rachel Wood, Kristin Chenoweth, Maya Rudolph, Sam Palladio, Alfred Molina",125,Adventure,1474446.0,12429583.0,2015
15,15,Black or White,Relativity Media,"Mike Binder (director/screenplay); Kevin Costner, Octavia Spencer, Jillian Estell, Bill Burr, Jennifer Ehle, Andre Holland, Gillian Jacobs, Anthony Mackie",102,Drama,2558859.0,21571189.0,2015
16,16,The Loft,Open Road Films,"Erik Van Looy (director); Bart De Pauw, Wesley Strick (screenplay); Karl Urban, James Marsden, Wentworth Miller, Eric Stonestreet, Matthias Schoenaerts, Isabel Lucas, Rachael Taylor",158,Thriller/Suspense,712062.0,6002684.0,2015
